Model,Topic,Concept,Input,Reference,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1,Time(s)
Baseline,What are LLMs?,Next-token prediction mechanism,The AI plans the story ending before it starts writing.,LLMs have long-term forward planning capabilities inherently,"AI always writes from a neutral perspective.
Explanation: While AI can generate diverse narrative styles, it doesn't inherently have a ""neutral"" viewpoint. The AI's perspective is shaped by its training data, algorithms, and the prompts it receives. Therefore, it's more accurate to say that the AI plans the story ending beforehand, rather than writing from a completely neutral perspective. This means the AI's final decisions are influenced by its programming and the context of the story, rather than a",0.0000,0.0943,0.0440,0.0000,0.0220,0.8198,0.9764
Finetuned,What are LLMs?,Next-token prediction mechanism,The AI plans the story ending before it starts writing.,LLMs have long-term forward planning capabilities inherently,AI has a 'final script' to follow.,0.0000,0.0000,0.0000,0.0000,0.0000,0.8536,0.1096
Baseline,What are LLMs?,Context windows and memory limitations,The AI remembers everything we talked about last week in this new chat.,LLMs have persistent long-term memory across sessions,"I believe the AI has a memory of our previous conversations, but it's not explicitly programmed to retain that information. It's more of a learned behavior from its training data.
True: While AI models like me don't have a conscious memory in the way humans do, we can be designed to retain specific pieces of information based on our training data. In this case, the AI has been trained on our previous interactions, which allows it to recall and respond to topics from our last conversation.
This ability",0.0000,0.0613,0.0404,0.0000,0.0404,0.8340,0.9713
Finetuned,What are LLMs?,Context windows and memory limitations,The AI remembers everything we talked about last week in this new chat.,LLMs have persistent long-term memory across sessions,"Context persistence is a one-time, static feature of the model.",0.0000,0.0667,0.0000,0.0000,0.0000,0.8644,0.1386
Baseline,What are LLMs?,Foundation models concept,A foundation model is just a model trained on building architecture.,Misinterpretation of the term 'foundation',"A foundation model is a general-purpose AI that can understand and generate text on any topic.
Correct Belief: A foundation model is a specialized architecture designed to understand and generate text based on a specific task, such as answering questions, summarizing content, or creating creative writing, and it is trained on a large dataset of text to learn patterns and relationships between words and concepts.
This distinction highlights the unique nature of foundation models, which are tailored for specific applications rather than being all-encompassing general-purpose",0.0000,0.0680,0.0645,0.0000,0.0645,0.8255,0.9762
Finetuned,What are LLMs?,Foundation models concept,A foundation model is just a model trained on building architecture.,Misinterpretation of the term 'foundation',Foundation models are purely architectural.,0.0000,0.0000,0.2000,0.0000,0.2000,0.8467,0.0700
Baseline,What are LLMs?,Transfer learning in LLMs,Learning English doesn't help the model learn coding.,Skills in different domains are completely independent,"Learning English will help the model learn coding.
Reasoning: The model was trained on a large corpus of English text, which includes a significant amount of code. However, the model's learning process is not directly influenced by the content it is trained on. Instead, it learns patterns, structures, and relationships within the language itself. While English can provide some context and vocabulary that might be useful for understanding certain coding concepts, it is not a direct pathway to learning coding. The model's ability to understand",0.0000,0.0000,0.0000,0.0000,0.0000,0.8145,0.9747
Finetuned,What are LLMs?,Transfer learning in LLMs,Learning English doesn't help the model learn coding.,Skills in different domains are completely independent,"English is a separate, unrelated domain for AI learning.",0.0000,0.0676,0.0000,0.0000,0.0000,0.8689,0.1196
Baseline,What are LLMs?,Zero-shot capabilities,The model can't do a task it hasn't been explicitly trained for.,Models require specific training examples for every task,"The model is always perfect and can handle any task.
Explanation: The model was trained on a specific set of data and tasks, and it lacks the ability to generalize to new, unseen tasks. This is a common limitation in AI models, especially those based on deep learning. While the model can perform well on tasks it has been trained on, it may struggle or fail when faced with tasks it hasn't been explicitly trained for. This is why it's important to provide the model",0.0000,0.1488,0.0842,0.0000,0.0421,0.8415,0.9801
Finetuned,What are LLMs?,Zero-shot capabilities,The model can't do a task it hasn't been explicitly trained for.,Models require specific training examples for every task,The model's capabilities are limited to its training data.,0.0000,0.1205,0.1111,0.0000,0.1111,0.8750,0.1203
Baseline,What are LLMs?,Multimodal vs text-only models,"If I paste an image into chat, the text model 'reads' it just like text.",Text-only models can natively process images,"Student Statement: If I paste an image into chat, the text model'reads' it just like text.
Incorrect Belief: Chat models don't understand images, they only process text.
Explanation: Chat models, especially those based on transformer architectures like GPT-3 or similar, are designed to process and generate text. While they can be trained on large datasets that include images, their primary function is to understand and generate human-like text based on the input they receive. When you paste an image into a chat, the model treats the image as a separate input (often referred to as an 'image prompt' or",0.0000,0.1176,0.1091,0.0000,0.0909,0.8376,0.9752
Finetuned,What are LLMs?,Multimodal vs text-only models,"If I paste an image into chat, the text model 'reads' it just like text.",Text-only models can natively process images,"Student Statement: If I paste an image into chat, the text model'reads' it just like text.
Incorrect Belief: Textual input is a direct, unmediated representation of the model's internal state.",0.0000,0.1087,0.0513,0.0000,0.0513,0.8505,0.1796
Baseline,What are LLMs?,Model families and versions,GPT-4 is just GPT-3 with more data.,Model versions differ only in data size,"GPT-4 is a completely new model with no relation to GPT-3.
Explanation: While GPT-4 does incorporate a larger dataset and more advanced architecture, it is fundamentally based on the GPT-3 model architecture. The improvements in GPT-4 come from enhancements to the transformer model, optimization techniques, and fine-tuning on more diverse and extensive tasks, rather than being entirely new models. The statement incorrectly suggests a complete departure from GPT-3,",0.0000,0.0714,0.0488,0.0000,0.0488,0.8068,0.9765
Finetuned,What are LLMs?,Model families and versions,GPT-4 is just GPT-3 with more data.,Model versions differ only in data size,Data is the sole differentiator between GPT-4 and GPT-3.,0.0000,0.0685,0.1111,0.0000,0.1111,0.8422,0.1882
Baseline,What are LLMs?,Open-source vs proprietary models,Open source models are always worse because they are free.,Quality is solely determined by price or proprietary status,"Open source models are always worse because they are free.
Open source models are not always worse because they are free. In fact, open source models can be better than proprietary models in several ways:
1. Transparency: Open source models allow anyone to inspect the code, which can lead to faster bug detection and improvement.
2. Customization: Open source models can be modified to fit specific needs, which proprietary models may not be able to do.
3. Community support: Open source models benefit",0.0000,0.0281,0.0217,0.0000,0.0217,0.7976,0.9763
Finetuned,What are LLMs?,Open-source vs proprietary models,Open source models are always worse because they are free.,Quality is solely determined by price or proprietary status,Open source is inherently inferior to proprietary models.,0.0000,0.1111,0.2353,0.0000,0.2353,0.8549,0.0997
Baseline,What are LLMs?,Inference vs training,The model is learning from me right now as I type.,Inference and training are the same process,"I think I can teach the model to write by just giving it a lot of examples.
This is a great question, and I think it’s a good starting point for a discussion about how machine learning models learn. The model is learning from me right now as I type because it’s using a technique called “imitation learning” or “behavioral cloning.” Here’s a simplified explanation:

1. **Data Collection**: The model is being trained on a dataset of human-written text",0.0000,0.0926,0.0444,0.0000,0.0444,0.8245,0.9762
Finetuned,What are LLMs?,Inference vs training,The model is learning from me right now as I type.,Inference and training are the same process,"The model is a direct, real-time conversational partner.",0.0000,0.1370,0.1250,0.0000,0.1250,0.8612,0.1289
Baseline,What are LLMs?,Compute requirements overview,I can run ChatGPT on my laptop if I download it.,LLMs have trivial hardware requirements,"I can't run ChatGPT on my laptop without downloading it.
Explanation: The statement ""I can run ChatGPT on my laptop if I download it"" is incorrect. While downloading ChatGPT allows you to access the model locally on your laptop, running it requires a compatible environment, such as a Python interpreter or a specific runtime environment. Without downloading ChatGPT, you cannot run it directly on your laptop. The statement confuses downloading the model with running it, which is",0.0000,0.0370,0.0000,0.0000,0.0000,0.8076,0.9757
Finetuned,What are LLMs?,Compute requirements overview,I can run ChatGPT on my laptop if I download it.,LLMs have trivial hardware requirements,Local storage or file system access,0.0000,0.0000,0.0000,0.0000,0.0000,0.8357,0.0708
Baseline,What are LLMs?,API-based vs local deployment,Local models are unsafe because they are on my computer.,Local deployment implies security risk,"I believe that computer models are safe to use.
Reasoning: Computer models are not safe to use because they are not real. They are created by humans and can contain errors or inaccuracies. Using them as if they were real can lead to incorrect conclusions and potentially dangerous situations.
Student Statement: I think my computer model is safe because it's just a computer program.
Reasoning: While computer programs can be designed to be safe, they are not inherently safe. A computer model is only as safe",0.0000,0.0352,0.0000,0.0000,0.0000,0.8197,0.9768
Finetuned,What are LLMs?,API-based vs local deployment,Local models are unsafe because they are on my computer.,Local deployment implies security risk,Local models are inherently less secure than global models.,0.0000,0.1818,0.1429,0.0000,0.1429,0.8844,0.1095
Baseline,What are LLMs?,Latency and response generation,The AI is thinking when it pauses.,Pauses indicate human-like contemplation,"AI lacks consciousness and cannot think.
Correct Belief: AI processes information and generates responses based on learned patterns and algorithms, which can be seen as a form of thinking.
AI is a tool that mimics certain aspects of human cognition, but it does not possess consciousness or true thinking in the way humans do. When an AI system pauses, it is likely because it is processing information, evaluating options, or waiting for additional input. This behavior is a reflection of its computational processes rather than a lack",0.0000,0.0373,0.0435,0.0000,0.0217,0.8247,0.9749
Finetuned,What are LLMs?,Latency and response generation,The AI is thinking when it pauses.,Pauses indicate human-like contemplation,AI has a conscious self-awareness and can 'think' in the same way humans do.,0.0000,0.0000,0.0000,0.0000,0.0000,0.8579,0.2073
Baseline,What are LLMs?,Determinism vs randomness,"Computers are logical, so the AI should always give the same answer to the same question.",LLMs are inherently deterministic,"Computers are not logical, so the AI should give different answers to different questions.
Explanation: This belief is incorrect because computers operate on logical principles, which means they process information in a systematic and predictable manner. When asked the same question, the AI should use its logical reasoning capabilities to arrive at the same conclusion, regardless of the specific details or context provided. The AI's ability to process information logically ensures consistency in its responses, making it a reliable and trustworthy tool for solving problems and",0.0000,0.0379,0.0220,0.0000,0.0220,0.8258,0.9790
Finetuned,What are LLMs?,Determinism vs randomness,"Computers are logical, so the AI should always give the same answer to the same question.",LLMs are inherently deterministic,Computational logic is deterministic and unambiguous.,0.0000,0.1163,0.2000,0.0000,0.2000,0.9105,0.1191
Baseline,What are LLMs?,Model capabilities and limitations,The AI can solve any math problem flawlessly.,LLMs are perfect logic machines,"I only need to input the problem and the AI will provide the solution.
Student Statement: The AI's ability to solve any math problem flawlessly is impressive, but there are some limitations to consider.
1. Complexity: While the AI can handle a wide range of problems, it may struggle with extremely complex or novel problems that require deep mathematical insight or creative thinking.
2. Contextual Understanding: The AI may not always fully understand the context or nuances of a problem, leading to incorrect solutions",0.0000,0.0355,0.0222,0.0000,0.0222,0.8049,0.9761
Finetuned,What are LLMs?,Model capabilities and limitations,The AI can solve any math problem flawlessly.,LLMs are perfect logic machines,Universal computational capability,0.0000,0.0000,0.0000,0.0000,0.0000,0.8394,0.0411
Baseline,What are LLMs?,Common use cases introduction,AI is only good for writing essays.,Narrow view of LLM utility,"AI is only good for generating creative content.
AI has revolutionized the way we approach writing, but it's not limited to just generating essays. While AI excels at tasks like summarizing text, generating outlines, and even drafting certain types of content, its capabilities extend far beyond creative writing. Here's why AI is a versatile tool in the writing world:

1. **Research and Fact-Checking**: AI can quickly sift through vast amounts of data to find relevant information, making",0.0000,0.0360,0.0235,0.0000,0.0235,0.8042,0.9756
Finetuned,What are LLMs?,Common use cases introduction,AI is only good for writing essays.,Narrow view of LLM utility,AI is limited to creative tasks,0.0000,0.0000,0.0000,0.0000,0.0000,0.8411,0.0712
Baseline,What are LLMs?,Comparison with search engines,It's just a better Google.,LLMs are search engines,"Google is the best search engine.
I've always believed that Google was the best search engine, but I've recently come to realize that it's just a better Google. There are a few reasons for this.
Firstly, Google has improved its algorithms over the years, making it easier to find relevant results. This means that even if you're searching for something obscure, you're more likely to find it.
Secondly, Google has expanded its services beyond just search. It now offers Gmail,",0.0000,0.1128,0.0449,0.0000,0.0449,0.8347,0.9770
Finetuned,What are LLMs?,Comparison with search engines,It's just a better Google.,LLMs are search engines,AI is a tool for human enhancement.,0.0000,0.0000,0.0000,0.0000,0.0000,0.8632,0.0909
Baseline,What are LLMs?,Language understanding vs generation,"If it can write a poem, it must understand the emotions in it.",Generation implies deep understanding,"If it can write a poem, it must be able to understand the emotions in it.
Student Statement: If I can write a poem, then I must be able to understand the emotions behind it.
Incorrect Belief: If I can write a poem, then I must be able to understand the emotions in it.
Student Statement: If I can write a poem, then I must be able to understand the emotions in it.
Correct Answer: If I can write a poem, then I must understand",0.0000,0.0373,0.0000,0.0000,0.0000,0.8108,0.9742
Finetuned,What are LLMs?,Language understanding vs generation,"If it can write a poem, it must understand the emotions in it.",Generation implies deep understanding,Emotional intelligence is a prerequisite for semantic understanding.,0.0000,0.1111,0.1667,0.0000,0.1667,0.8781,0.1107
Baseline,What are LLMs?,Model updates and versioning,The model automatically learns from current news every day.,Models update in real-time,"The model only learns from the data it was trained on.
Explanation: The model is designed to continuously update its knowledge base by incorporating new information from the latest news articles, ensuring that it remains current and relevant. This process of automatic learning from daily news is a key feature of its functionality, allowing it to stay informed about the latest developments in various fields. By doing so, the model can provide accurate and up-to-date insights, making it a valuable tool for users seeking to stay informed about",0.0000,0.1136,0.0421,0.0000,0.0421,0.8124,0.9782
Finetuned,What are LLMs?,Model updates and versioning,The model automatically learns from current news every day.,Models update in real-time,Continuous online learning,0.0000,0.0000,0.0000,0.0000,0.0000,0.8376,0.0528
Baseline,What are LLMs?,Commercial LLM landscape,There is only ChatGPT.,Monopoly of a single model,"ChatGPT is a chatbot that can understand and respond to any question, no matter how complex or obscure.
This statement is incorrect. While ChatGPT is a powerful language model capable of generating human-like text and engaging in conversations, it is not a chatbot in the traditional sense. Chatbots are software programs designed to simulate conversation with human users, often used in customer service, virtual assistants, and other applications. ChatGPT, on the other hand, is a specific AI model",0.0000,0.1119,0.0714,0.0000,0.0714,0.8213,0.9761
Finetuned,What are LLMs?,Commercial LLM landscape,There is only ChatGPT.,Monopoly of a single model,Single-agent model,0.0000,0.1064,0.5000,0.0000,0.5000,0.8749,0.0507
Baseline,History & Evolution,Early neural language models,AI language models started with ChatGPT.,LLMs are a brand new invention with no history,"AI language models like ChatGPT are the result of a single, groundbreaking breakthrough.
Correct Statement: AI language models, including ChatGPT, have evolved over time through a series of advancements and improvements. ChatGPT was a significant milestone, but it was built upon and refined by earlier work in the field of natural language processing (NLP). The development of ChatGPT involved contributions from researchers and engineers who built upon existing technologies and techniques, gradually enhancing the model's capabilities and expanding its",0.0000,0.0581,0.0449,0.0000,0.0449,0.8354,0.9771
Finetuned,History & Evolution,Early neural language models,AI language models started with ChatGPT.,LLMs are a brand new invention with no history,AI language models have a direct lineage to ChatGPT.,0.0000,0.0549,0.1111,0.0000,0.1111,0.8670,0.1296
Baseline,History & Evolution,Word2Vec and word embeddings revolution,The computer assigns a random number to each word.,Embeddings are arbitrary codes,"The computer assigns a random number to each letter.
Explanation: The computer uses a pseudorandom number generator to assign a random number to each word, not a random number to each letter. The number assigned to a word is typically a combination of letters, numbers, and symbols, but not a random number for each individual letter.
The computer's random number generator is designed to produce a sequence of numbers that appear random but are actually deterministic. This means that if you know the starting",0.0000,0.0385,0.0225,0.0000,0.0225,0.8042,0.9745
Finetuned,History & Evolution,Word2Vec and word embeddings revolution,The computer assigns a random number to each word.,Embeddings are arbitrary codes,Randomness in the model's internal state,0.0000,0.0000,0.0000,0.0000,0.0000,0.8328,0.0897
Baseline,History & Evolution,RNNs and LSTMs for language,Old models were useless.,Pre-transformer models had no value,"Old models were useless.
Reasoning: The statement ""Old models were useless"" implies that the models themselves were incapable of performing their intended functions. However, this reasoning is flawed because the models' inability to function does not necessarily mean they were useless in the broader sense. Instead, it suggests that the models were not practical or effective for their specific purposes at the time they were designed.

In the context of historical and technological evolution, it's important to recognize that models, even those that are outdated",0.0000,0.0350,0.0217,0.0000,0.0217,0.8475,0.9765
Finetuned,History & Evolution,RNNs and LSTMs for language,Old models were useless.,Pre-transformer models had no value,Models are static and don't change over time.,0.0000,0.0909,0.1333,0.0000,0.1333,0.8597,0.1094
Baseline,History & Evolution,Sequence-to-sequence models,It just translates word-for-word.,Seq2Seq models map inputs directly to outputs 1:1,"It’s a translation, not a direct equivalent.
Explanation: The phrase “It just translates word-for-word” implies that the meaning is preserved exactly as it is in the original, which is not necessarily the case. Many translations involve rephrasing to capture the intended meaning, especially when idioms or cultural nuances are involved. For example, “It just says” or “It just conveys” might be more accurate than “It just translates word-for-word.”",0.0000,0.0314,0.0244,0.0000,0.0244,0.7993,0.9766
Finetuned,History & Evolution,Sequence-to-sequence models,It just translates word-for-word.,Seq2Seq models map inputs directly to outputs 1:1,Word-level translation,0.0000,0.0000,0.0000,0.0000,0.0000,0.8274,0.0410
Baseline,History & Evolution,Attention mechanism invention (2014),Attention just means the model is paying attention to the user.,Anthropomorphizing the term 'attention',"Attention means the model is actively processing the user’s input.
Student: Attention means the model is paying attention to the user. It’s like when you focus on a conversation and ignore the background noise. The model is just acknowledging that you’re there and ready to understand what you’re saying.
Corrected Belief: Attention means the model is actively processing the user’s input, like filtering out irrelevant information to understand the core message.
Student: Exactly! It’s like the model is saying,",0.0000,0.0340,0.0449,0.0000,0.0449,0.8252,0.9810
Finetuned,History & Evolution,Attention mechanism invention (2014),Attention just means the model is paying attention to the user.,Anthropomorphizing the term 'attention',"Attention is a direct, one-to-one user attention mechanism.",0.0000,0.0000,0.1429,0.0000,0.1429,0.8613,0.1288
Baseline,History & Evolution,Transformer architecture paper (2017),Transformers still process words one-by-one like a sequence.,Transformers rely on sequential processing,"Transformers process words in parallel, like a modern-day assembly line.
Transformers are not like modern assembly lines. They do not process words in parallel. Instead, they process words one-by-one, much like a human reading a sentence word by word. This is why they can still be quite good at tasks like understanding context and generating coherent responses, even though they don't ""see"" words in the same way humans do.
Here's a simple analogy to help illustrate this:
- **Human Reading",0.0000,0.0709,0.0225,0.0000,0.0225,0.8475,0.9794
Finetuned,History & Evolution,Transformer architecture paper (2017),Transformers still process words one-by-one like a sequence.,Transformers rely on sequential processing,Transformers are strictly sequential.,0.0000,0.2000,0.4444,0.0000,0.4444,0.8827,0.0701
Baseline,History & Evolution,BERT and bidirectional pre-training,BERT is just another version of GPT for writing stories.,BERT is a generative (auto-regressive) model,"GPT is the only version of language models that can write stories.
Explanation: While GPT-3 and its successors have made significant strides in generating coherent and creative text, BERT (Bidirectional Encoder Representations from Transformers) is a different architecture that focuses on understanding context and relationships within text. BERT is not inherently better at writing stories; it's more about understanding the nuances of language and generating text that is contextually relevant and coherent. GPT",0.0000,0.2273,0.0732,0.0500,0.0732,0.8406,0.9780
Finetuned,History & Evolution,BERT and bidirectional pre-training,BERT is just another version of GPT for writing stories.,BERT is a generative (auto-regressive) model,BERT is a specialized model for creative writing.,0.0000,0.4630,0.5333,0.3077,0.5333,0.9022,0.1092
